확인날짜,작품명,작가명,론칭일,별점,댓글수,다운로드수,키워드,URL
2026-08-13,미친 오빠의 몹쓸 구원 [독점],달뜬별,2026-08-03,9.9,35,3.9만,#NOVEL #로맨스 #구원 #재회물 #직진남 #임신후도망 #햇살녀,https://series.naver.com/novel/detail.series?productNo=14520692
2026-08-13,당신이 잠든 시간 [선공개],서채리,2026-08-03,9.9,208,2만,#NOVEL #로맨스 #강단녀 #뇌섹남 #배틀연애 #임신후도망 #셀프구원여주,https://series.naver.com/novel/detail.series?productNo=14515554
2026-08-13,웨딩드레스를 입은 불청객 [독점],김아롬,2026-08-08,8.8,56,10.1만,#NOVEL #로맨스 #재벌 #로맨틱코미디 #달달물 #성장물 #직진남,https://series.naver.com/novel/detail.series?productNo=14537874
2026-08-13,김택서 복수일지 [독점],그일도,2026-08-06,9.6,769,58.2만,#NOVEL #로맨스 #소유욕/집착 #애증 #하남자 #강단녀 #로맨틱코미디,https://series.naver.com/novel/detail.series?productNo=14514494
2026-08-13,남편이 사랑에 빠졌다 [독점],성소작,2026-08-04,7.9,103,13.9만,#NOVEL #로맨스,https://series.naver.com/novel/detail.series?productNo=14527106
2026-08-13,반드시 결혼을 허락할 것 [독점],느린돌,2026-08-01,9.2,43,12만,#NOVEL #로맨스 #오피스로맨스 #로맨틱코미디 #까칠자상남 #재벌 #직진남,https://series.naver.com/novel/detail.series?productNo=14514114
2026-08-14,사내 열애 [독점],손유애,2026-08-11,9.9,915,14.6만,#NOVEL #로맨스 #오피스로맨스 #나이차커플 #재벌 #계략남 #상처녀,https://series.naver.com/novel/detail.series?productNo=14543417
2026-08-14,우리 학교 쿼터백이 너드랑 사귄대! [선공개],마로나,2026-08-10,9.9,224,4.4만,#NOVEL #로맨스 #하이틴 #계약관계 #능글남 #대형견남 #철벽녀,https://series.naver.com/novel/detail.series?productNo=14554206
2026-08-14,배덕한 환승 남편 [독점],베르베르베르,2026-08-10,9.9,3,1.3만,#NOVEL #로맨스 #계약관계 #상처남 #순정남 #재벌,https://series.naver.com/novel/detail.series?productNo=14545855
2026-08-14,비의도적 동거 [독점],전여린,2026-08-10,9.8,28,1.7만,#NOVEL #로맨스 #순정남 #소유욕/집착 #재벌 #츤데레남주 #상처녀,https://series.naver.com/novel/detail.series?productNo=14544042
2026-08-14,착한 척은 개나 주고 [독점],스노우볼빵빵,2026-08-10,9.9,51,2.3만,#NOVEL #로맨스 #계략남 #상처녀 #소유욕/집착 #재회물 #직진남,https://series.naver.com/novel/detail.series?productNo=14540621
2026-08-14,미친 오빠의 몹쓸 구원 [독점],달뜬별,2026-08-03,9.9,35,4만,#NOVEL #로맨스 #구원 #재회물 #직진남 #임신후도망 #햇살녀,https://series.naver.com/novel/detail.series?productNo=14520692
2026-08-14,당신이 잠든 시간 [선공개],서채리,2026-08-03,9.9,209,2만,#NOVEL #로맨스 #강단녀 #뇌섹남 #배틀연애 #임신후도망 #셀프구원여주,https://series.naver.com/novel/detail.series?productNo=14515554
2026-08-14,웨딩드레스를 입은 불청객 [독점],김아롬,2026-08-08,8.9,57,10.8만,#NOVEL #로맨스 #재벌 #로맨틱코미디 #달달물 #성장물 #직진남,https://series.naver.com/novel/detail.series?productNo=14537874
2026-08-14,김택서 복수일지 [독점],그일도,2026-08-06,9.6,817,61.9만,#NOVEL #로맨스 #소유욕/집착 #애증 #하남자 #강단녀 #로맨틱코미디,https://series.naver.com/novel/detail.series?productNo=14514494
2026-08-14,남편이 사랑에 빠졌다 [독점],성소작,2026-08-04,7.9,111,14.1만,#NOVEL #로맨스,https://series.naver.com/novel/detail.series?productNo=14527106
2026-08-14,반드시 결혼을 허락할 것 [독점],느린돌,2026-08-01,9.2,44,12.1만,#NOVEL #로맨스 #오피스로맨스 #로맨틱코미디 #까칠자상남 #재벌 #직진남,https://series.naver.com/novel/detail.series?productNo=14514114
2026-08-15,하룻밤을 보냈더니 [독점],고슬밥,2026-08-15,7.1,14,,#NOVEL #로맨스 #사제관계 #계략남 #능력남 #다정남 #상처녀,https://series.naver.com/novel/detail.series?productNo=14573098
2026-08-15,사내 열애 [독점],손유애,2026-08-11,9.9,1.1천,17.4만,#NOVEL #로맨스 #오피스로맨스 #나이차커플 #재벌 #계략남 #상처녀,https://series.naver.com/novel/detail.series?productNo=14543417
2026-08-15,우리 학교 쿼터백이 너드랑 사귄대! [선공개],마로나,2026-08-10,9.9,238,5.4만,#NOVEL #로맨스 #하이틴 #계약관계 #능글남 #대형견남 #철벽녀,https://series.naver.com/novel/detail.series?productNo=14554206
2026-08-15,배덕한 환승 남편 [독점],베르베르베르,2026-08-10,9.9,4,1.5만,#NOVEL #로맨스 #계약관계 #상처남 #순정남 #재벌,https://series.naver.com/novel/detail.series?productNo=14545855
2026-08-15,비의도적 동거 [독점],전여린,2026-08-10,9.9,37,2.1만,#NOVEL #로맨스 #순정남 #소유욕/집착 #재벌 #츤데레남주 #상처녀,https://series.naver.com/novel/detail.series?productNo=14544042
2026-08-15,착한 척은 개나 주고 [독점],스노우볼빵빵,2026-08-10,10.0,93,2.9만,#NOVEL #로맨스 #계략남 #상처녀 #소유욕/집착 #재회물 #직진남,https://series.naver.com/novel/detail.series?productNo=14540621
2026-08-15,미친 오빠의 몹쓸 구원 [독점],달뜬별,2026-08-03,9.8,38,6.8만,#NOVEL #로맨스 #구원 #재회물 #직진남 #임신후도망 #햇살녀,https://series.naver.com/novel/detail.series?productNo=14520692
2026-08-15,당신이 잠든 시간 [선공개],서채리,2026-08-03,9.9,211,2만,#NOVEL #로맨스 #강단녀 #뇌섹남 #배틀연애 #임신후도망 #셀프구원여주,https://series.naver.com/novel/detail.series?productNo=14515554
2026-08-15,웨딩드레스를 입은 불청객 [독점],김아롬,2026-08-08,8.8,57,11.5만,#NOVEL #로맨스 #재벌 #로맨틱코미디 #달달물 #성장물 #직진남,https://series.naver.com/novel/detail.series?productNo=14537874
2026-08-15,김택서 복수일지 [독점],그일도,2026-08-06,9.6,854,64.5만,#NOVEL #로맨스 #소유욕/집착 #애증 #하남자 #강단녀 #로맨틱코미디,https://series.naver.com/novel/detail.series?productNo=14514494
2026-08-15,남편이 사랑에 빠졌다 [독점],성소작,2026-08-04,8.0,113,14.4만,#NOVEL #로맨스,https://series.naver.com/novel/detail.series?productNo=14527106
